ID,Type,SKU,Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,"Download 1 ID","Download 1 name","Download 1 URL","Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 1 default","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global","Attribute 2 default"
59,"simple, downloadable, virtual",WOO-SINGLE-1,"Woo Single #1",1,0,visible,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,,3,"Music, Music > Singles",,,"http://localhost/interview-test/wp-content/uploads/2023/08/cd_4_angle.jpg, http://localhost/interview-test/wp-content/uploads/2023/08/cd_4_flat.jpg",'-1,'-1,,,,,,,0,52e86d5b-0cf8-4d0a-811f-b7c9552fa4e3,"Song #1",https://woocommerce.files.wordpress.com/2017/06/woo-single-1.ogg,,,,,,,,,,
60,"simple, downloadable, virtual",WOO-SINGLE-2,"Woo Single #2",1,0,visible,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,2,3,"Music, Music > Singles",,,"http://localhost/interview-test/wp-content/uploads/2023/08/cd_6_angle.jpg, http://localhost/interview-test/wp-content/uploads/2023/08/cd_6_flat.jpg",10,90,,,,,,,0,029eaf52-970f-49b9-b047-2c63d1b56be7,"Song #2",https://woocommerce.files.wordpress.com/2017/06/woo-single-2.ogg,,,,,,,,,,
61,"simple, virtual",WOO-ALBUM-1,"Woo Album #1",1,0,visible,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,,9,"Music > Albums, Music",,,"http://localhost/interview-test/wp-content/uploads/2023/08/cd_1_angle.jpg, http://localhost/interview-test/wp-content/uploads/2023/08/cd_1_flat.jpg",,,,,,,,,0,,,,,,,,,,,,,
62,"simple, virtual",WOO-ALBUM-2,"Woo Album #2",1,0,visible,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,,9,"Music > Albums, Music",,,"http://localhost/interview-test/wp-content/uploads/2023/08/cd_2_angle.jpg, http://localhost/interview-test/wp-content/uploads/2023/08/cd_2_flat.jpg",,,,,,,,,0,,,,,,,,,,,,,
63,"simple, virtual",WOO-ALBUM-3,"Woo Album #3",1,0,visible,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,,9,"Music > Albums, Music",,,"http://localhost/interview-test/wp-content/uploads/2023/08/cd_3_angle.jpg, http://localhost/interview-test/wp-content/uploads/2023/08/cd_3_flat.jpg",,,,,,,,,0,,,,,,,,,,,,,
64,simple,T-SHIRT-WOO-LOGO,"Woo Logo",1,0,visible,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,4,,0,0,,,,,1,,18,20,"Clothing, Clothing > T-shirts",,,"http://localhost/interview-test/wp-content/uploads/2023/08/T_1_front.jpg, http://localhost/interview-test/wp-content/uploads/2023/08/T_1_back.jpg",,,,,HOODIE-WOO-LOGO,,,,0,,,,,,,,,,,,,
65,simple,HOODIE-WOO-LOGO,"Woo Logo",1,0,visible,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,,35,"Clothing, Clothing > Hoodies",,,"http://localhost/interview-test/wp-content/uploads/2023/08/hoodie_6_front.jpg, http://localhost/interview-test/wp-content/uploads/2023/08/hoodie_6_back.jpg",,,,,,T-SHIRT-WOO-LOGO,,,0,,,,,,,,,,,,,
66,simple,T-SHIRT-WOO-NINJA,"Woo Ninja",1,0,visible,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,,20,"Clothing, Clothing > T-shirts",,,"http://localhost/interview-test/wp-content/uploads/2023/08/T_6_front.jpg, http://localhost/interview-test/wp-content/uploads/2023/08/T_6_back.jpg",,,,,HOODIE-WOO-NINJA,"T-SHIRT-HAPPY-NINJA, T-SHIRT-NINJA-SILHOUETTE",,,0,,,,,,,,,,,,,
67,simple,HOODIE-WOO-NINJA,"Woo Ninja",1,0,visible,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,,35,"Clothing, Clothing > Hoodies",,,"http://localhost/interview-test/wp-content/uploads/2023/08/hoodie_2_front.jpg, http://localhost/interview-test/wp-content/uploads/2023/08/hoodie_2_back.jpg",,,,,,T-SHIRT-WOO-NINJA,,,0,,,,,,,,,,,,,
68,simple,T-SHIRT-PREMIUM-QUALITY,"Premium Quality",1,0,visible,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,,20,"Clothing, Clothing > T-shirts",,,"http://localhost/interview-test/wp-content/uploads/2023/08/T_2_front.jpg, http://localhost/interview-test/wp-content/uploads/2023/08/T_2_back.jpg",,,,,,,,,0,,,,,,,,,,,,,
